Name,Handedness,Height,Weight,BMI,Batting Average,Homerun Count
Kevin Stanfield,Lefty,72,190,31.6666666667,0,0
Lafayette Currence,Switch-hitter,71,175,29.5774647887,0,0
Larry Anderson,Righty,75,190,30.4,0,0
Larry Monroe,Righty,76,200,31.5789473684,0,0
Larry Pashnick,Righty,75,205,32.8,0,0
Larry Rothschild,Lefty,74,180,29.1891891892,0,0
Len Whitehouse,Lefty,71,175,29.5774647887,0,0
Leon Hooten,Righty,71,180,30.4225352113,0,0
Les Straker,Righty,73,193,31.7260273973,0,0
Luis Aponte,Righty,72,185,30.8333333333,0,0
Luis Encarnacion,Righty,70,178,30.5142857143,0,0
Luis Quintana,Lefty,74,175,28.3783783784,0,0
Luis Sanchez,Righty,74,170,27.5675675676,0,0
Mark Brown,Switch-hitter,74,190,30.8108108108,0,0
Mark Ciardi,Righty,72,180,30,0,0
Mark Clear,Righty,76,200,31.5789473684,0,0
Mark Esser,Righty,73,190,31.2328767123,0,0
Mark Mercer,Lefty,77,220,34.2857142857,0,0
Mark Smith,Righty,74,215,34.8648648649,0,0
Mark Souza,Lefty,72,180,30,0,0
Matt Williams,Righty,73,200,32.8767123288,0,0
Mike Bacsik,Righty,74,180,29.1891891892,0,0
Mike Darr,Righty,76,190,30,0,0
Mike Jones,Lefty,78,215,33.0769230769,0,0
Mike Kinnunen,Lefty,73,185,30.4109589041,0,0
Mike Loynd,Righty,76,210,33.1578947368,0,0
Mike Overy,Righty,74,190,30.8108108108,0,0
Mike Parrott,Righty,76,210,33.1578947368,0,0
Mike Paxton,Righty,71,190,32.1126760563,0,0
Mike Pazik,Lefty,74,195,31.6216216216,0,0
Mike Rochford,Lefty,76,205,32.3684210526,0,0
Mike Smith,Righty,75,180,28.8,0,0
Mike Smithson,Lefty,80,215,32.25,0,0
Mike Trujillo,Righty,73,180,29.5890410959,0,0
Mike Walters,Righty,77,203,31.6363636364,0,0
Mike Warren,Righty,73,175,28.7671232877,0,0
Mike Willis,Lefty,74,205,33.2432432432,0,0
Narciso Elvira,Lefty,70,160,27.4285714286,0,0
Nardi Contreras,Switch-hitter,74,193,31.2972972973,0,0
Oswaldo Peraza,Righty,76,172,27.1578947368,0,0
Ozzie Osborn,Righty,74,195,31.6216216216,0,0
Pat Underwood,Lefty,72,175,29.1666666667,0,0
Paul Boris,Righty,74,200,32.4324324324,0,0
Paul Hartzell,Righty,77,200,31.1688311688,0,0
Paul Mitchell,Righty,73,195,32.0547945205,0,0
Paul Wilmet,Righty,71,170,28.7323943662,0,0
Pete Filson,Switch-hitter,74,195,31.6216216216,0,0
Phil Huffman,Righty,74,180,29.1891891892,0,0
Rafael Vasquez,Righty,72,160,26.6666666667,0,0
Ralph Botting,Lefty,72,195,32.5,0,0
Ramon Manon,Righty,72,150,25,0,0
Ramon Pena,Righty,70,155,26.5714285714,0,0
Randy Nosek,Righty,76,215,33.9473684211,0,0
Randy Scarbery,Switch-hitter,73,185,30.4109589041,0,0
Randy Wiles,Lefty,73,185,30.4109589041,0,0
Ray Chadwick,Switch-hitter,74,180,29.1891891892,0,0
Reggie Ritter,Lefty,74,195,31.6216216216,0,0
Rich Barnes,Righty,76,186,29.3684210526,0,0
Rich Wortham,Righty,72,185,30.8333333333,0,0
Rich Yett,Righty,74,187,30.3243243243,0,0
Rick Anderson,Righty,74,210,34.0540540541,0,0
Rick Henninger,Righty,78,225,34.6153846154,0,0
Rick Jones,Lefty,77,190,29.6103896104,0,0
Rick Kreuger,Righty,74,185,30,0,0
Rick Lysander,Righty,74,190,30.8108108108,0,0
Rick Steirer,Righty,76,200,31.5789473684,0,0
Rickey Keeton,Righty,74,190,30.8108108108,0,0
Rob Woodward,Righty,75,185,29.6,0,0
Roger Miller,Righty,75,200,32,0,0
Roger Slagle,Righty,75,190,30.4,0,0
Roger Weaver,Righty,75,190,30.4,0,0
Ron Musselman,Righty,74,185,30,0,0
Ron Romanick,Righty,76,195,30.7894736842,0,0
Roy Branch,Righty,72,175,29.1666666667,0,0
Sam Hinds,Righty,78,215,33.0769230769,0,0
Sandy Wihtol,Righty,73,195,32.0547945205,0,0
Shawn Holman,Righty,74,185,30,0,0
Sherman Corbett,Lefty,76,205,32.3684210526,0,0
Stan Thomas,Righty,74,185,30,0,0
Stefan Wever,Righty,80,245,36.75,0,0
Steve Adkins,Righty,78,210,32.3076923077,0,0
Steve Barr,Lefty,76,200,31.5789473684,0,0
Steve Brown,Righty,77,200,31.1688311688,0,0
Steve Burke,Switch-hitter,74,200,32.4324324324,0,0
Steve Cummings,Switch-hitter,74,200,32.4324324324,0,0
Steve Curry,Righty,78,217,33.3846153846,0,0
Steve Davis,Lefty,73,195,32.0547945205,0,0
Steve Eddy,Righty,74,185,30,0,0
Steve Ellsworth,Righty,80,220,33,0,0
Steve Senteney,Righty,74,205,33.2432432432,0,0
T.R. Bryden,Righty,76,190,30,0,0
Terry Felton,Righty,73,180,29.5890410959,0,0
Terry Taylor,Righty,73,180,29.5890410959,0,0
Terry Wilshusen,Righty,74,210,34.0540540541,0,0
Todd Fischer,Righty,70,170,29.1428571429,0,0
Tom Brown,Righty,73,170,27.9452054795,0,0
Tom Buskey,Righty,75,200,32,0,0
Tom Dozier,Righty,74,190,30.8108108108,0,0
Tom Gilles,Righty,73,185,30.4109589041,0,0
Tom Klawitter,Righty,74,190,30.8108108108,0,0
Tom Makowski,Righty,71,185,31.2676056338,0,0
Tom McCarthy,Righty,72,180,30,0,0
Tony Arnold,Righty,71,170,28.7323943662,0,0
Tony Chevez,Righty,71,177,29.9154929577,0,0
Tony Ferreira,Lefty,73,160,26.301369863,0,0
Tony Mack,Righty,70,177,30.3428571429,0,0
Vance Lovelace,Lefty,77,205,31.9480519481,0,0
Willie Mueller,Righty,76,220,34.7368421053,0,0
Win Remmerswaal,Righty,74,160,25.9459459459,0,0
Zach Crouch,Lefty,75,180,28.8,0,0
Dean Chance,Righty,75,200,32,0.066,0
Mickey Lolich,Switch-hitter,73,170,27.9452054795,0.11,0
Jack Billingham,Righty,76,195,30.7894736842,0.111,0
Bob Veale,Switch-hitter,78,212,32.6153846154,0.114,0
Fred Norman,Switch-hitter,68,155,27.3529411765,0.125,0
Randy Jones,Righty,72,178,29.6666666667,0.132,0
Joe Horlen,Righty,72,170,28.3333333333,0.134,0
Steve Rogers,Righty,74,175,28.3783783784,0.138,0
Don Sutton,Righty,73,185,30.4109589041,0.144,0
Ron Reed,Righty,78,215,33.0769230769,0.158,0
John Denny,Righty,75,185,29.6,0.17,0
Luis Gomez,Righty,69,150,26.0869565217,0.21,0
Mick Kelleher,Righty,69,176,30.6086956522,0.213,0
Craig Robinson,Righty,70,165,28.2857142857,0.219,0
Ed Crosby,Lefty,74,175,28.3783783784,0.22,0
Tim Johnson,Lefty,73,170,27.9452054795,0.223,0
Larry Lintz,Switch-hitter,69,150,26.0869565217,0.227,0
Bob Didier,Switch-hitter,72,190,31.6666666667,0.229,0
Cesar Gutierrez,Righty,69,155,26.9565217391,0.235,0
Marty Martinez,Switch-hitter,72,170,28.3333333333,0.243,0
Ray Culp,Righty,72,200,33.3333333333,0.123,1
Mario Soto,Righty,72,174,29,0.132,1
Denny McLain,Righty,73,185,30.4109589041,0.133,1
Gary Nolan,Righty,74,197,31.9459459459,0.138,1
Don Wilson,Righty,74,195,31.6216216216,0.146,1
Ray Burris,Righty,77,200,31.1688311688,0.151,1
Joe Niekro,Righty,73,185,30.4109589041,0.156,1
Jim Barr,Righty,75,205,32.8,0.162,1
Jerry Reuss,Lefty,77,200,31.1688311688,0.167,1
Steve Blass,Righty,72,165,27.5,0.172,1
Dick Ruthven,Righty,75,190,30.4,0.183,1
Jose Arcia,Righty,75,170,27.2,0.215,1
Woody Woodward,Righty,74,180,29.1891891892,0.236,1
Gil Garrido,Righty,69,150,26.0869565217,0.237,1
Pepe Frias,Righty,70,159,27.2571428571,0.24,1
Bruce Miller,Righty,73,185,30.4109589041,0.246,1
Bob Heise,Righty,72,175,29.1666666667,0.247,1
Joe Strain,Righty,70,169,28.9714285714,0.25,1
Bob Randall,Righty,74,175,28.3783783784,0.257,1
Brock Davis,Lefty,70,160,27.4285714286,0.26,1
Duane Kuiper,Lefty,72,175,29.1666666667,0.271,1
Darrell Brown,Switch-hitter,72,184,30.6666666667,0.274,1
Jerry Koosman,Righty,74,205,33.2432432432,0.119,2
Al Downing,Righty,71,175,29.5774647887,0.127,2
Woodie Fryman,Righty,75,197,31.52,0.138,2
Sam McDowell,Lefty,77,190,29.6103896104,0.154,2
Fritz Peterson,Switch-hitter,72,185,30.8333333333,0.159,2
Ken Holtzman,Righty,74,175,28.3783783784,0.163,2
Tom Lawless,Righty,71,170,28.7323943662,0.207,2
Angel Salazar,Righty,72,180,30,0.212,2
Rudy Meoli,Lefty,69,165,28.6956521739,0.212,2
Danny Ainge,Righty,76,175,27.6315789474,0.22,2
Enzo Hernandez,Righty,68,155,27.3529411765,0.224,2
Nate Oliver,Righty,70,160,27.4285714286,0.226,2
Mike Champion,Righty,72,185,30.8333333333,0.229,2
Glenn Burke,Righty,72,195,32.5,0.237,2
Chico Ruiz,Switch-hitter,72,169,28.1666666667,0.24,2
Mike Ramsey,Switch-hitter,73,170,27.9452054795,0.24,2
Ron Theobald,Righty,68,165,29.1176470588,0.248,2
Mike Edwards,Righty,70,154,26.4,0.25,2
Barry Evans,Righty,73,180,29.5890410959,0.251,2
Frank Taveras,Righty,72,155,25.8333333333,0.255,2
Jose Tartabull,Lefty,71,165,27.8873239437,0.261,2
Jack Perconte,Lefty,70,160,27.4285714286,0.27,2
Rick Peters,Switch-hitter,69,170,29.5652173913,0.277,2
Jim Lonborg,Righty,77,200,31.1688311688,0.136,3
Jerry Zimmerman,Righty,74,185,30,0.204,3
Don Mason,Lefty,71,160,27.0422535211,0.205,3
Skip Jutze,Righty,71,190,32.1126760563,0.215,3
Mike Fischlin,Righty,73,165,27.1232876712,0.22,3
Joe Nossek,Righty,72,178,29.6666666667,0.228,3
Winston Llenas,Righty,70,165,28.2857142857,0.23,3
Jerry Dybzinski,Righty,74,180,29.1891891892,0.234,3
Rodney Scott,Switch-hitter,72,160,26.6666666667,0.236,3
Onix Concepcion,Righty,66,160,29.0909090909,0.239,3
Ron Brand,Righty,67,167,29.9104477612,0.239,3
Dave Skaggs,Righty,74,200,32.4324324324,0.241,3
Manny Castillo,Switch-hitter,69,160,27.8260869565,0.242,3
Bobby Mitchell (L),Lefty,70,170,29.1428571429,0.243,3
Mark Wagner,Righty,72,165,27.5,0.243,3
Bryan Little,Switch-hitter,70,160,27.4285714286,0.245,3
Rob Andrews,Righty,72,185,30.8333333333,0.251,3
Vida Blue,Switch-hitter,72,189,31.5,0.104,4
Burt Hooton,Righty,73,210,34.5205479452,0.123,4
Denny Lemaster,Righty,73,182,29.9178082192,0.13,4
Larry Dierker,Righty,76,215,33.9473684211,0.136,4
Juan Marichal,Righty,72,185,30.8333333333,0.165,4
Tommy Dean,Righty,72,165,27.5,0.18,4
Mario Mendoza,Righty,71,170,28.7323943662,0.215,4
Tom Matchick,Lefty,73,173,28.4383561644,0.215,4
Joe Lovitto,Switch-hitter,72,185,30.8333333333,0.216,4
Pat Corrales,Righty,72,180,30,0.216,4
Mike Richardt,Righty,72,170,28.3333333333,0.226,4
Elio Chacon,Righty,69,160,27.8260869565,0.232,4
Ron Gardenhire,Righty,72,175,29.1666666667,0.232,4
Terry Harmon,Righty,74,180,29.1891891892,0.233,4
Julio Gonzalez,Righty,71,162,27.3802816901,0.235,4
Jackie Gutierrez,Righty,71,175,29.5774647887,0.237,4
Rafael Landestoy,Switch-hitter,70,165,28.2857142857,0.237,4
John Donaldson,Lefty,71,160,27.0422535211,0.238,4
Junior Kennedy,Righty,71,175,29.5774647887,0.248,4
Jerry Terrell,Righty,71,165,27.8873239437,0.253,4
Steve Barber,Lefty,72,195,32.5,0.115,5
Joaquin Andujar,Switch-hitter,72,170,28.3333333333,0.127,5
Tommy John,Righty,75,180,28.8,0.157,5
Luis Tiant,Righty,72,180,30,0.164,5
Andy Messersmith,Righty,73,200,32.8767123288,0.17,5
Ron Clark,Righty,70,175,30,0.189,5
Ray Sadecki,Lefty,71,180,30.4225352113,0.191,5
Mike Krukow,Righty,77,205,31.9480519481,0.193,5
Jim French,Lefty,68,180,31.7647058824,0.196,5
Tom Nieto,Righty,73,193,31.7260273973,0.205,5
Steve Jeltz,Switch-hitter,71,180,30.4225352113,0.21,5
Frank Quilici,Righty,73,170,27.9452054795,0.214,5
Luis Alvarado,Righty,69,162,28.1739130435,0.214,5
Mike Sadek,Righty,69,165,28.6956521739,0.226,5
Ken Suarez,Righty,69,175,30.4347826087,0.227,5
Mike Brumley,Lefty,70,195,33.4285714286,0.229,5
Roger Metzger,Switch-hitter,72,165,27.5,0.231,5
Albert Hall,Switch-hitter,71,155,26.1971830986,0.251,5
Andre Robertson,Righty,70,155,26.5714285714,0.251,5
Lenny Faedo,Righty,72,170,28.3333333333,0.251,5
Wallace Johnson,Switch-hitter,72,173,28.8333333333,0.255,5
Alan Wiggins,Switch-hitter,74,160,25.9459459459,0.259,5
Scot Thompson,Lefty,75,195,31.2,0.262,5
Gene Clines,Righty,69,170,29.5652173913,0.277,5
Gaylord Perry,Righty,76,205,32.3684210526,0.131,6
Bob Knepper,Lefty,75,195,31.2,0.137,6
John Vukovich,Righty,73,187,30.7397260274,0.161,6
Luis Pujols,Righty,74,175,28.3783783784,0.193,6
Rich Morales,Righty,71,170,28.7323943662,0.195,6
Bob Davis,Righty,72,180,30,0.197,6
Buddy Biancalana,Switch-hitter,71,160,27.0422535211,0.205,6
Bobby Klaus,Righty,70,170,29.1428571429,0.208,6
Terry Humphrey,Righty,75,185,29.6,0.211,6
Dave Hilton,Righty,71,191,32.2816901408,0.213,6
Ken Rudolph,Righty,73,180,29.5890410959,0.213,6
Steve Renko,Righty,77,230,35.8441558442,0.215,6
Dal Maxvill,Righty,71,157,26.5352112676,0.217,6
Tucker Ashford,Righty,73,195,32.0547945205,0.218,6
Catfish Hunter,Righty,72,190,31.6666666667,0.226,6
Tim Blackwell,Switch-hitter,71,170,28.7323943662,0.228,6
Brad Wellman,Righty,72,170,28.3333333333,0.231,6
Rick Sweet,Switch-hitter,73,200,32.8767123288,0.234,6
Ty Cline,Lefty,72,170,28.3333333333,0.238,6
Frank Tepedino,Lefty,71,185,31.2676056338,0.241,6
Hank Allen,Righty,72,190,31.6666666667,0.241,6
Rod Kanehl,Righty,73,180,29.5890410959,0.241,6
Ron Stone,Lefty,74,185,30,0.241,6
Wilbur Howard,Switch-hitter,74,170,27.5675675676,0.25,6
Rich Chiles,Lefty,71,170,28.7323943662,0.254,6
Julio Gotay,Righty,72,180,30,0.26,6
Mike Squires,Lefty,71,185,31.2676056338,0.26,6
Miguel Dilone,Switch-hitter,72,160,26.6666666667,0.265,6
Carl Morton,Righty,72,200,33.3333333333,0.156,7
Mel Stottlemyre,Righty,73,178,29.2602739726,0.16,7
Phil Niekro,Righty,73,180,29.5890410959,0.169,7
Dave Roberts (L),Lefty,75,195,31.2,0.194,7
Orlando Mercado,Righty,72,180,30,0.199,7
Jim Maloney,Lefty,74,190,30.8108108108,0.201,7
Jim Rooker,Righty,72,195,32.5,0.201,7
Stan Papi,Righty,72,170,28.3333333333,0.218,7
Al Weis,Switch-hitter,72,160,26.6666666667,0.219,7
Sandy Valdespino,Lefty,68,170,30,0.23,7
Jim Fairey,Lefty,70,190,32.5714285714,0.235,7
Bud Harrelson,Switch-hitter,71,160,27.0422535211,0.236,7
Don Hahn,Righty,73,180,29.5890410959,0.236,7
Jerry Kenney,Lefty,73,170,27.9452054795,0.237,7
Doug Flynn,Righty,71,165,27.8873239437,0.238,7
Ted Martinez,Righty,72,165,27.5,0.24,7
Bill Fahey,Lefty,72,200,33.3333333333,0.241,7
Curt Ford,Lefty,70,150,25.7142857143,0.245,7
Doug Griffin,Righty,72,160,26.6666666667,0.245,7
Marv Breeding,Righty,72,175,29.1666666667,0.25,7
Sonny Jackson,Lefty,69,150,26.0869565217,0.251,7
Lynn Jones,Righty,69,175,30.4347826087,0.252,7
Juan Bonilla,Righty,69,170,29.5652173913,0.256,7
Mario Guerrero,Righty,70,155,26.5714285714,0.257,7
Tony Muser,Lefty,74,180,29.1891891892,0.259,7
Jim Norris,Lefty,70,175,30,0.264,7
Junior Moore,Righty,71,185,31.2676056338,0.264,7
Jerry Remy,Lefty,69,165,28.6956521739,0.275,7
Greg Gross,Lefty,70,160,27.4285714286,0.287,7
Dick Tracewski,Righty,71,160,27.0422535211,0.213,8
Jeff Torborg,Righty,72,195,32.5,0.214,8
Sal Butera,Righty,72,190,31.6666666667,0.227,8
Hal Lanier,Righty,74,180,29.1891891892,0.228,8
Russ Gibson,Righty,73,195,32.0547945205,0.228,8
Bob Meacham,Switch-hitter,73,175,28.7671232877,0.236,8
Jimmy Stewart,Switch-hitter,72,165,27.5,0.237,8
Domingo Ramos,Righty,70,154,26.4,0.24,8
Pedro Gonzalez,Righty,72,176,29.3333333333,0.244,8
Ed Romero,Righty,71,160,27.0422535211,0.247,8
Merritt Ranew,Lefty,71,170,28.7323943662,0.247,8
Boots Day,Lefty,69,160,27.8260869565,0.256,8
Steve Hovley,Lefty,70,188,32.2285714286,0.258,8
Phil Mankowski,Lefty,72,180,30,0.264,8
Broderick Perkins,Lefty,70,180,30.8571428571,0.271,8
Dave McNally,Righty,71,185,31.2676056338,0.133,9
George Smith,Righty,70,170,29.1428571429,0.205,9
Jack Heidemann,Righty,72,175,29.1666666667,0.211,9
Rick Auerbach,Righty,72,165,27.5,0.22,9
Tim Cullen,Righty,73,185,30.4109589041,0.22,9
Bobby Cox,Righty,71,180,30.4225352113,0.225,9
Bob Barton,Righty,72,175,29.1666666667,0.226,9
Rick Rhoden,Righty,75,195,31.2,0.238,9
Wayne Tolleson,Switch-hitter,69,160,27.8260869565,0.241,9
Joe Simpson,Lefty,75,175,28,0.242,9
Rick Sofield,Lefty,73,195,32.0547945205,0.243,9
Joe Keough,Lefty,72,185,30.8333333333,0.246,9
Jim Lyttle,Lefty,72,180,30,0.248,9
Luis Melendez,Righty,72,165,27.5,0.248,9
Jim Pankovits,Righty,70,170,29.1428571429,0.25,9
Bill Sharp,Lefty,70,178,30.5142857143,0.255,9
Tim Flannery,Lefty,71,175,29.5774647887,0.255,9
Bob Bailor,Righty,71,170,28.7323943662,0.264,9
Gene Locklear,Lefty,70,165,28.2857142857,0.274,9
J.R. Richard,Righty,80,222,33.3,0.168,10
Fred Stanley,Righty,70,165,28.2857142857,0.216,10
Brian Giles,Righty,73,165,27.1232876712,0.228,10
Ron Davis,Righty,72,175,29.1666666667,0.233,10
Dave Rosello,Righty,71,160,27.0422535211,0.236,10
Ted Cox,Righty,75,195,31.2,0.245,10
Dick Bertell,Righty,72,200,33.3333333333,0.25,10
Bruce Boisclair,Lefty,74,185,30,0.263,10
Bombo Rivera,Righty,70,187,32.0571428571,0.265,10
Carl Taylor,Righty,74,200,32.4324324324,0.266,10
Tom Poquette,Lefty,70,175,30,0.268,10
Paul Dade,Righty,73,185,30.4109589041,0.27,10
Tony Cloninger,Righty,72,210,35,0.192,11
Howie Goss,Righty,76,204,32.2105263158,0.216,11
Jimmie Schaffer,Righty,69,170,29.5652173913,0.223,11
Ken Walters,Righty,73,180,29.5890410959,0.231,11
Phil Linz,Righty,73,180,29.5890410959,0.235,11
Mike Phillips,Lefty,72,170,28.3333333333,0.24,11
Steve Nicosia,Righty,70,185,31.7142857143,0.248,11
Larry Milbourne,Switch-hitter,72,161,26.8333333333,0.254,11
Al Gallagher,Righty,72,180,30,0.263,11
